,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_f1_mean,train_f1_std,test_f1_mean,test_f1_std,overfitting_gap
Gradient Boosting,1.0,0.0,0.9999838969404188,3.220611916265881e-05,1.0,0.0,0.9999838957975479,3.220840490412158e-05,1.6103059581218382e-05
Neural Network,1.0,0.0,0.9999838969404188,3.220611916265881e-05,1.0,0.0,0.999983903398544,3.2193202912145225e-05,1.6103059581218382e-05
XGBoost,0.9999838971835155,8.051408243755854e-06,0.9999355877616747,9.389616577851758e-05,0.9999838968979949,8.051551004082088e-06,0.9999355900439297,9.38899004431517e-05,4.8309421840864175e-05
Random Forest,0.9999516917126112,3.733259516413064e-05,0.9998550724637681,0.0002515378317522349,0.9999516935658775,3.732738149280275e-05,0.9998551259836346,0.00025142905747273226,9.661924884307727e-05
